ticket_id,description,category,priority
T002662,"Issue experiencing deployment, RDS, security group, certificate error",Cloud,Low
T009032,Replication lag growing for backup mirror,Backup,High
T008209,Meeting room booking system not updating,Email,High
T008479,Meeting room booking system not updating,Email,High
T000475,RDP connection timeout to database server,Network,High
T003859,Data exfiltration attempt detected and blocked,Security,High
T004391,DRS unable to balance workloads across hosts,Virtualization,High
T005373,NAS replication lag exceeding configured threshold,Storage,High
T009842,Subscription renewal failing during processing,Vendor,High
T007510,"Issue cannot firmware, disk, desktop error",Hardware,Medium
T008032,Slack integration not syncing notifications,Email,Critical
T008505,"Issue throwing Gmail, archive, IMAP, spam error",Email,Medium
T004073,Unauthorized access attempt detected in audit logs,Security,High
T002986,"Issue throwing ulimit, systemd error",Unix,Medium
T004075,Password reset tokens expiring unexpectedly,Security,Critical
T000787,Application JSON parsing error from third party API,Application,High
T007258,Server cooling fan at maximum RPM,Hardware,High
T002016,"Issue throwing cache, vacuum error",Database,Critical
T006177,Monitoring compliance report generation failing,Monitoring,Low
T006438,Kubernetes deployment unable to pull image,DevOps,High
T005513,Storage pool fragmentation increasing response time,Storage,High
T000902,Application hanging during peak load hours,Application,High
T000426,BGP route flapping causing intermittent connectivity,Network,High
T006684,GitLab CI/CD pipeline failing at deploy stage,DevOps,High
T000687,Frequent disconnections on WiFi network,Network,High
T003477,Apache SSL module not loaded after system update,Unix,High
T000453,Cannot connect to VPN after office hours,Network,High
T009056,"Issue throwing disaster recovery, retention error",Backup,High
T004851,VM console access restricted due to certificate issue,Virtualization,Medium
T007851,"Issue showing replacement, workstation, maintenance error",Hardware,High
T000877,"Issue showing CPU, response time, error, session error",Application,Medium
T001329,Application request handling timeout in production,Application,High
T008556,SMTP relay authentication failing,Email,High
T000035,BGP route flapping causing intermittent connectivity,Network,High
T001518,MongoDB oplog size insufficient for replication,Database,Medium
T007526,"Issue unable to laptop, inventory, printer error",Hardware,Medium
T000976,Application metric collection delayed by 5 minutes,Application,High
T008636,RPO exceeded for critical systems,Backup,High
T002198,VPN gateway certificate expiring in 7 days,Cloud,High
T009050,"Issue throwing verification, archival error",Backup,Critical
T003757,Two-factor authentication system experiencing outage,Security,High
T000693,Network interface showing high packet loss,Network,High
T008719,Incremental backup chain broken,Backup,High
T005417,Storage controller cache battery low warning,Storage,High
T003558,Kernel audit rules not capturing all system calls,Unix,High
T004200,Insider threat alert triggered for suspicious file access,Security,Medium
T004022,"Issue experiencing firewall, exploit, audit, incident error",Security,High
T009949,Subscription renewal failing during processing,Vendor,High
T004877,VM disk I/O saturation during backup window,Virtualization,Medium
T001882,"Issue experiencing PostgreSQL, fragmentation, storage, archive error",Database,Critical
T007135,GitLab CI/CD pipeline failing at deploy stage,DevOps,Low
T005761,Alert escalation policy not triggering correctly,Monitoring,Medium
T008857,Selective restore functionality broken,Backup,High
T000870,Application crash with segmentation fault,Application,Critical
T009512,Vendor feature deprecation breaking integration,Vendor,Medium
T008509,Archive policy not automatically archiving old mail,Email,High
T005872,Alert deduplication not preventing duplicates,Monitoring,Critical
T007779,Server warranty expired requiring replacement,Hardware,Medium
T001112,"Issue unable to outage, login error",Application,Critical
T008199,Outlook profile corruption preventing email access,Email,High
T000031,"Issue experiencing packet loss, VPN, route error",Network,High
T008053,SMTP relay authentication failing,Email,High
T002530,"Issue experiencing load balancer, RDS, Docker error",Cloud,High
T000920,"Issue unable to pool, bug, module error",Application,High
T001137,User unable to login to corporate portal,Application,High
T005004,iSCSI connection timeout to storage array,Storage,Critical
T007055,Build cache corruption causing failed builds,DevOps,High
T007268,Keyboard and mouse intermittently disconnecting,Hardware,Medium
T005686,iSCSI connection timeout to storage array,Storage,Medium
T007343,Server firmware version mismatched,Hardware,High
T001347,Application experiencing token expiration issues,Application,High
T008818,Selective restore functionality broken,Backup,High
T002304,AWS Lambda concurrency limit exceeded,Cloud,High
T007781,Laptop battery not holding charge,Hardware,Medium
T008078,Archive policy not automatically archiving old mail,Email,Low
T002678,"Issue experiencing certificate, Terraform error",Cloud,Critical
T007964,Mailbox size exceeding quota preventing new mail,Email,High
T006837,Terraform state lock stuck preventing deployments,DevOps,High
T005556,Storage controller cache battery low warning,Storage,High
T009270,"Issue causing tape, restore, incremental error",Backup,Critical
T007919,"Issue causing recovery, IMAP, calendar, Outlook error",Email,High
T002485,AWS RDS backup failing with insufficient storage,Cloud,High
T006080,Monitoring system out of sync with actual state,Monitoring,High
T009502,Vendor API endpoint deprecated without replacement,Vendor,Medium
T007740,"Issue showing CPU, inventory, workstation error",Hardware,Medium
T000847,Apache server showing 503 error intermittently,Application,Critical
T003846,Suspicious traffic detected from server to external IP,Security,Low
T007138,Canary deployment metrics collection missing,DevOps,High
T002368,"Issue experiencing SSL, cluster, Docker, Terraform error",Cloud,High
T005502,Storage quota enforcer removing user files,Storage,High
T008415,Distribution list membership not updating,Email,Medium
T002102,"Issue causing connection, Oracle error",Database,High
T002904,"Issue causing shell, LDAP, kernel error",Unix,Critical
T003597,Unauthorized access attempt detected in audit logs,Security,Medium
T000485,Cannot connect to VPN after office hours,Network,Medium
T006100,Monitoring database retention policy not working,Monitoring,High
T006270,"Issue unable to alert, dashboard error",Monitoring,High
T005245,Replication network bandwidth insufficient,Storage,High
T005339,"Issue throwing encryption, disk, RAID, quota error",Storage,High
T003495,Nginx master process hanging periodically,Unix,Medium
T001833,Database query timeout on reporting tables,Database,High
T004647,Datastore latency causing VM performance degradation,Virtualization,Critical
T009666,Vendor API endpoint deprecated without replacement,Vendor,Critical
T007295,"Issue experiencing laptop, desktop, power supply, repair error",Hardware,High
T006739,Terraform state lock stuck preventing deployments,DevOps,High
T001403,Web server worker processes constantly crashing,Application,Medium
T000370,Network bandwidth utilization 85% sustained,Network,Critical
T000089,VPN users experiencing latency spikes,Network,High
T003191,SSH key authentication not working for automation,Unix,Critical
T006330,"Issue causing log, dashboard error",Monitoring,High
T000011,DNS resolution slow for internal domains,Network,High
T005860,Metric cardinality explosion from new service,Monitoring,High
T000030,Slow network performance in building A,Network,High
T008713,Backup storage approaching capacity limit,Backup,High
T005379,Storage snapshot deletion failing due to dependencies,Storage,Medium
T002444,Cloud storage bucket versioning causing quota exceeded,Cloud,Low
T000972,"Issue unable to exception, bug, CPU error",Application,High
T007997,SMTP relay authentication failing,Email,Medium
T009289,Vendor API documentation outdated,Vendor,High
T002009,Database connection pool exhausted,Database,High
T002269,VPN gateway certificate expiring in 7 days,Cloud,Medium
T002014,PostgreSQL index fragmentation causing slow queries,Database,Medium
T002681,"Issue experiencing certificate, VPC error",Cloud,High
T005958,Metric cardinality explosion from new service,Monitoring,Medium
T006226,Metrics collection showing gaps in data,Monitoring,Medium
T005378,"Issue causing volume, compression, controller error",Storage,Medium
T000559,Frequent disconnections on WiFi network,Network,Low
T003159,Shell script returning permission denied on NFS mount,Unix,Medium
T005671,NAS replication lag exceeding configured threshold,Storage,High
T001431,"Issue showing query, backup, storage error",Database,Medium
T006774,"Issue unable to release, orchestration, Docker error",DevOps,Critical
T002051,Database connection from application pool rejected,Database,Critical
T003753,Antivirus quarantine preventing application execution,Security,High
T007280,Server warranty expired requiring replacement,Hardware,High
T005827,Distributed trace context not propagating correctly,Monitoring,Low
T009331,Subscription renewal failing during processing,Vendor,High
T005616,iSCSI connection timeout to storage array,Storage,High
T006658,Terraform state lock stuck preventing deployments,DevOps,High
T006011,Splunk index unusually large after ingestion spike,Monitoring,Medium
T005664,iSCSI connection timeout to storage array,Storage,High
T004079,"Issue causing threat, anomaly error",Security,High
T000653,Network interface MTU mismatch causing fragmentation,Network,High
T008624,Backup encryption key inaccessible,Backup,Critical
T001271,Application experiencing token expiration issues,Application,High
T001780,Database cursor limit reached on connection pool,Database,Critical
